Date,영업이익(원),금융손익(비영업)(원),관계기업투자등관련손익(비영업)(원),종가(원),수정주가(원),PBR,us_10_treasury,Quarter,equity,세전이익,순이익,ROE,COE,gm,수정주가_1주후,수정주가_2주후,수정주가_1달후,수정주가_3달후,수정주가_6달후,수익률_1주후,수익률_2주후,수익률_1달후,수익률_3달후,수익률_6달후,kospi,kospi_1주후,kospi_2주후,kospi_1달후,kospi_3달후,kospi_6달후,kospi_수익률_1주후,kospi_수익률_2주후,kospi_수익률_1달후,kospi_수익률_3달후,kospi_수익률_6달후,상대수익률_1주후,상대수익률_2주후,상대수익률_1달후,상대수익률_3달후,상대수익률_6달후
2022-07-01,1357569000000,-191014000000,-75909000000,52800,52800,0.99,2.8889999389648438,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.928999938964844,0.4196896803249344,54000,53500,53600,51300,49000,2.272727272727273,1.3257575757575757,1.5151515151515151,-2.840909090909091,-7.196969696969697,2305.419922,2350.610107,2330.97998,2451.5,2169.290039,2313.689941,1.9601715318221289,1.1086942450738495,6.3363761458811565,-5.904776032381317,0.35872072246281417,0.31255574090514404,0.21706333068372619,-4.821224630729642,3.0638669414722264,-7.555690419432511
2022-07-04,1357569000000,-191014000000,-75909000000,53600,53600,1.01,2.8889999389648438,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.928999938964844,0.4281682597254381,55000,54700,53600,50000,49250,2.6119402985074625,2.0522388059701493,0.0,-6.7164179104477615,-8.115671641791044,2300.340088,2340.27002,2375.25,2452.25,2170.929932,2317.139893,1.7358273330234641,3.256471179664982,6.603802315686118,-5.62569668176821,0.7303183163062846,0.8761129654839983,-1.2042323736948326,-6.603802315686118,-1.0907212286795511,-8.845989958097329
2022-07-05,1357569000000,-191014000000,-75909000000,54200,54200,1.02,2.809000015258789,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.849000015258789,0.42059718012394026,55000,54000,52800,50800,49300,1.4760147601476015,-0.36900369003690037,-2.5830258302583027,-6.273062730627306,-9.040590405904059,2341.780029,2317.76001,2370.969971,2439.620117,2155.48999,2332.790039,-1.0257162800323825,1.2464852222889964,4.178022136510411,-7.955061393172381,-0.3838955789472246,2.501731040179984,-1.6154889123258966,-6.7610479667687144,1.681998662545075,-8.656694826956834
2022-07-06,1357569000000,-191014000000,-75909000000,53800,53800,1.01,2.9130001068115234,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.9530001068115235,0.4316766620177451,55800,53300,53100,50900,48200,3.717472118959108,-0.929368029739777,-1.3011152416356877,-5.390334572490707,-10.408921933085502,2292.01001,2328.610107,2386.850098,2461.449951,2209.379883,2280.449951,1.596855896802999,4.137856623060731,7.392635296562256,-3.605138138118337,-0.5043633731774108,2.1206162221561087,-5.067224652800508,-8.693750538197943,-1.7851964343723696,-9.904558559908091
2022-07-07,1357569000000,-191014000000,-75909000000,53800,53800,1.01,3.007999897003174,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,3.047999897003174,0.44556395996525416,54900,52100,53200,50900,47400,2.0446096654275094,-3.1598513011152414,-1.1152416356877324,-5.390334572490707,-11.895910780669144,2334.27002,2322.320068,2409.159912,2473.110107,2215.219971,2236.399902,-0.5119352901597879,3.2082788776938562,5.947901734178981,-5.1000975885386195,-4.1927505027888685,2.5565449555872974,-6.368130178809098,-7.063143369866713,-0.2902369839520871,-7.703160277880276
2022-07-08,1357569000000,-191014000000,-75909000000,54000,54000,1.01,3.1010000705718994,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,3.1410000705718994,0.45915894914274047,53500,51800,53000,50500,47250,-0.9259259259259258,-4.074074074074074,-1.8518518518518516,-6.481481481481481,-12.5,2350.610107,2330.97998,2393.139893,2490.800049,2237.860107,2225.669922,-0.8351077425193724,1.8093083950140636,5.963981078041028,-4.7966270401133775,-5.315223678649823,-0.09081818340655345,-5.883382469088138,-7.8158329298928795,-1.6848544413681035,-7.184776321350177
2022-07-11,1357569000000,-191014000000,-75909000000,55000,55000,1.03,2.990999937057495,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,3.030999937057495,0.4518527038190455,54700,51600,52900,50200,46950,-0.5454545454545455,-6.181818181818182,-3.8181818181818183,-8.727272727272728,-14.636363636363637,2340.27002,2375.25,2403.689941,2493.100098,2232.840088,2218.679932,1.494698462188567,2.7099403256039727,6.530446345674247,-4.590493023535807,-5.195558074960937,-2.0401530076431125,-8.891758507422153,-10.348628163856066,-4.136779703736922,-9.4408055614027
2022-07-12,1357569000000,-191014000000,-75909000000,55000,55000,1.03,2.9579999446868896,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.9979999446868897,0.44693316040488706,54000,52400,52900,48700,47350,-1.8181818181818181,-4.7272727272727275,-3.8181818181818183,-11.454545454545455,-13.90909090909091,2317.76001,2370.969971,2412.959961,2503.459961,2192.070068,2255.97998,2.295749377434466,4.1074119231179615,8.012043964810665,-5.422905799466269,-2.665505908008133,-4.113931195616284,-8.834684650390688,-11.830225782992484,-6.031639655079186,-11.243585001082778
2022-07-13,1357569000000,-191014000000,-75909000000,55800,55800,1.05,2.9040000438690186,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.9440000438690186,0.44740501160003615,53300,52600,52200,48750,47100,-4.480286738351254,-5.734767025089606,-6.451612903225806,-12.634408602150538,-15.591397849462366,2328.610107,2386.850098,2415.530029,2480.879883,2202.469971,2264.649902,2.501062364408947,3.732695385058725,6.539084217759951,-5.4169710773311515,-2.7467116460471437,-6.981349102760202,-9.46746241014833,-12.990697120985757,-7.2174375248193865,-12.844686203415222
2022-07-14,1357569000000,-191014000000,-75909000000,54900,54900,1.03,2.9600000381469727,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,3.0000000381469727,0.44723132855288994,52100,52800,52600,48550,47600,-5.100182149362477,-3.825136612021858,-4.189435336976321,-11.56648451730419,-13.296903460837886,2322.320068,2409.159912,2435.27002,2523.780029,2162.870117,2289.969971,3.7393572572788054,4.863668602634663,8.674943810544551,-6.865976537735369,-1.3930076842448407,-8.839539406641283,-8.68880521465652,-12.864379147520872,-4.700507979568821,-11.903895776593044
2022-07-15,1357569000000,-191014000000,-75909000000,53500,53500,1.01,2.930000066757202,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,2.970000066757202,0.4341617570730614,51800,53600,51900,49700,47500,-3.177570093457944,0.1869158878504673,-2.990654205607477,-7.102803738317758,-11.214953271028037,2330.97998,2393.139893,2451.5,2527.939941,2212.550049,2350.189941,2.666685837430485,5.170358434395474,8.449663347172978,-5.080692756528957,0.8241152289948033,-5.844255930888429,-4.983442546545007,-11.440317552780455,-2.022110981788801,-12.03906850002284
2022-07-18,1357569000000,-191014000000,-75909000000,54700,54700,1.03,2.9600000381469727,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,3.0000000381469727,0.44723132855288994,51600,53600,51900,49000,46900,-5.6672760511883,-2.010968921389397,-5.118829981718465,-10.420475319926874,-14.259597806215721,2375.25,2403.689941,2452.25,2533.52002,2219.709961,2351.310059,1.1973451636669863,3.2417640248394908,6.6632994421639795,-6.548364972108198,-1.0078914219555875,-6.864621214855286,-5.252732946228887,-11.782129423882445,-3.8721103478186762,-13.251706384260133
2022-07-19,1357569000000,-191014000000,-75909000000,54000,54000,1.01,3.0190000534057617,2022Q3,10515800000000,1090646000000,872516800000.0,6.909176173524606,3.0590000534057618,0.44717198930009544,52400,52800,51300,50200,46500,-2.9629629629629632,-2.2222222222222223,-5.0,-7.037037037037037,-13.88888888888889,2370.969971,2412.959961,2439.620117,2516.469971,2249.949951,2359.530029,1.7710047159429012,2.8954456125416677,6.13672892443394,-5.10424094274621,-0.48250050147935736,-4.733967678905865,-5.11766783476389,-11.136728924433939,-1.9327960942908273,-13.406388387409532
