일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2023/06/30","269500","1000","0.37","37188","7.25","32363","8.33","459670","0.59","5500","2.04"
"2023/06/29","268500","-5500","-2.01","37188","7.22","32363","8.30","459670","0.58","5500","2.05"
"2023/06/28","274000","0","0.00","37188","7.37","32826","8.35","459670","0.60","5500","2.01"
"2023/06/27","274000","500","0.18","37188","7.37","33053","8.29","459670","0.60","5500","2.01"
"2023/06/26","273500","0","0.00","37188","7.35","33053","8.27","459670","0.59","5500","2.01"
"2023/06/23","273500","-7000","-2.50","37188","7.35","33053","8.27","459670","0.59","5500","2.01"
"2023/06/22","280500","4000","1.45","37188","7.54","33012","8.50","459670","0.61","5500","1.96"
"2023/06/21","276500","-15500","-5.31","37188","7.44","33012","8.38","459670","0.60","5500","1.99"
"2023/06/20","292000","-11500","-3.79","37188","7.85","33012","8.85","459670","0.64","5500","1.88"
"2023/06/19","303500","-11000","-3.50","37188","8.16","33012","9.19","459670","0.66","5500","1.81"
"2023/06/16","314500","500","0.16","37188","8.46","33012","9.53","459670","0.68","5500","1.75"
"2023/06/15","314000","-1000","-0.32","37188","8.44","33012","9.51","459670","0.68","5500","1.75"
"2023/06/14","315000","-3500","-1.10","37188","8.47","32550","9.68","459670","0.69","5500","1.75"
"2023/06/13","318500","-4500","-1.39","37188","8.56","32550","9.78","459670","0.69","5500","1.73"
"2023/06/12","323000","1500","0.47","37188","8.69","32550","9.92","459670","0.70","5500","1.70"
"2023/06/09","321500","-2500","-0.77","37188","8.65","32550","9.88","459670","0.70","5500","1.71"
"2023/06/08","324000","0","0.00","37188","8.71","32550","9.95","459670","0.70","5500","1.70"
"2023/06/07","324000","-1500","-0.46","37188","8.71","32550","9.95","459670","0.70","5500","1.70"
"2023/06/05","325500","5000","1.56","37188","8.75","32550","10.00","459670","0.71","5500","1.69"
"2023/06/02","320500","5000","1.58","37188","8.62","33249","9.64","459670","0.70","5500","1.72"
"2023/06/01","315500","5500","1.77","37188","8.48","32352","9.75","459670","0.69","5500","1.74"
"2023/05/31","310000","-7500","-2.36","37188","8.34","32352","9.58","459670","0.67","5500","1.77"
"2023/05/30","317500","0","0.00","37188","8.54","33333","9.53","459670","0.69","5500","1.73"
"2023/05/26","317500","-3000","-0.94","37188","8.54","33333","9.53","459670","0.69","5500","1.73"
"2023/05/25","320500","-5500","-1.69","37188","8.62","33333","9.62","459670","0.70","5500","1.72"
"2023/05/24","326000","1500","0.46","37188","8.77","33333","9.78","459670","0.71","5500","1.69"
"2023/05/23","324500","-4000","-1.22","37188","8.73","33333","9.74","459670","0.71","5500","1.69"
"2023/05/22","328500","6000","1.86","37188","8.83","33333","9.86","459670","0.71","5500","1.67"
"2023/05/19","322500","2000","0.62","37188","8.67","33333","9.68","459670","0.70","5500","1.71"
"2023/05/18","320500","0","0.00","37188","8.62","34113","9.40","459670","0.70","5500","1.72"
"2023/05/17","320500","1000","0.31","37188","8.62","34113","9.40","459670","0.70","5500","1.72"
"2023/05/16","319500","2500","0.79","37188","8.59","34113","9.37","459670","0.70","5500","1.72"
"2023/05/15","317000","-1000","-0.31","37188","8.52","34113","9.29","459670","0.69","5500","1.74"
"2023/05/12","318000","1000","0.32","37188","8.55","34113","9.32","459670","0.69","5500","1.73"
"2023/05/11","317000","-4500","-1.40","37188","8.52","34113","9.29","459670","0.69","5500","1.74"
"2023/05/10","321500","3000","0.94","37188","8.65","34872","9.22","459670","0.70","5500","1.71"
"2023/05/09","318500","-4000","-1.24","37188","8.56","38900","8.19","459670","0.69","5500","1.73"
"2023/05/08","322500","13000","4.20","37188","8.67","38900","8.29","459670","0.70","5500","1.71"
"2023/05/04","309500","-3500","-1.12","37188","8.32","38900","7.96","459670","0.67","5500","1.78"
"2023/05/03","313000","3000","0.97","37188","8.42","38900","8.05","459670","0.68","5500","1.76"
"2023/05/02","310000","500","0.16","37188","8.34","38156","8.12","459670","0.67","5500","1.77"
"2023/04/28","309500","1500","0.49","38246","8.09","38156","8.11","381542","0.81","5000","1.62"
"2023/04/27","308000","-7000","-2.22","38246","8.05","38156","8.07","381542","0.81","5000","1.62"
"2023/04/26","315000","6000","1.94","38246","8.24","38604","8.16","381542","0.83","5000","1.59"
"2023/04/25","309000","-5000","-1.59","38246","8.08","38516","8.02","381542","0.81","5000","1.62"
"2023/04/24","314000","-1500","-0.48","38246","8.21","38516","8.15","381542","0.82","5000","1.59"
"2023/04/21","315500","-4000","-1.25","38246","8.25","38516","8.19","381542","0.83","5000","1.58"
"2023/04/20","319500","1500","0.47","38246","8.35","38516","8.30","381542","0.84","5000","1.56"
"2023/04/19","318000","-2000","-0.63","38246","8.31","38516","8.26","381542","0.83","5000","1.57"
"2023/04/18","320000","1000","0.31","38246","8.37","38742","8.26","381542","0.84","5000","1.56"
"2023/04/17","319000","-2500","-0.78","38246","8.34","38950","8.19","381542","0.84","5000","1.57"
"2023/04/14","321500","3500","1.10","38246","8.41","38950","8.25","381542","0.84","5000","1.56"
"2023/04/13","318000","0","0.00","38246","8.31","38950","8.16","381542","0.83","5000","1.57"
"2023/04/12","318000","3000","0.95","38246","8.31","39348","8.08","381542","0.83","5000","1.57"
"2023/04/11","315000","2500","0.80","38246","8.24","39348","8.01","381542","0.83","5000","1.59"
