일자,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"2023/06/30","47750","650","1.38","10955","4.36","12194","3.92","124124","0.38","2950","6.18"
"2023/06/29","47100","-1050","-2.18","10955","4.30","12194","3.86","124124","0.38","2950","6.26"
"2023/06/28","48150","600","1.26","10955","4.40","12212","3.94","124124","0.39","2950","6.13"
"2023/06/27","47550","350","0.74","10955","4.34","12206","3.90","124124","0.38","2950","6.20"
"2023/06/26","47200","250","0.53","10955","4.31","12206","3.87","124124","0.38","2950","6.25"
"2023/06/23","46950","-850","-1.78","10955","4.29","12170","3.86","124124","0.38","2950","6.28"
"2023/06/22","47800","900","1.92","10955","4.36","12170","3.93","124124","0.39","2950","6.17"
"2023/06/21","46900","-950","-1.99","10955","4.28","12191","3.85","124124","0.38","2950","6.29"
"2023/06/20","47850","-300","-0.62","10955","4.37","12191","3.93","124124","0.39","2950","6.17"
"2023/06/19","48150","-150","-0.31","10955","4.40","12191","3.95","124124","0.39","2950","6.13"
"2023/06/16","48300","100","0.21","10955","4.41","12191","3.96","124124","0.39","2950","6.11"
"2023/06/15","48200","-350","-0.72","10955","4.40","12191","3.95","124124","0.39","2950","6.12"
"2023/06/14","48550","50","0.10","10955","4.43","12191","3.98","124124","0.39","2950","6.08"
"2023/06/13","48500","-250","-0.51","10955","4.43","12191","3.98","124124","0.39","2950","6.08"
"2023/06/12","48750","-700","-1.42","10955","4.45","12188","4.00","124124","0.39","2950","6.05"
"2023/06/09","49450","1000","2.06","10955","4.51","12188","4.06","124124","0.40","2950","5.97"
"2023/06/08","48450","50","0.10","10955","4.42","12188","3.98","124124","0.39","2950","6.09"
"2023/06/07","48400","-150","-0.31","10955","4.42","12188","3.97","124124","0.39","2950","6.10"
"2023/06/05","48550","1100","2.32","10955","4.43","12188","3.98","124124","0.39","2950","6.08"
"2023/06/02","47450","650","1.39","10955","4.33","12188","3.89","124124","0.38","2950","6.22"
"2023/06/01","46800","-1200","-2.50","10955","4.27","12162","3.85","124124","0.38","2950","6.30"
"2023/05/31","48000","-350","-0.72","10955","4.38","12162","3.95","124124","0.39","2950","6.15"
"2023/05/30","48350","400","0.83","10955","4.41","12162","3.98","124124","0.39","2950","6.10"
"2023/05/26","47950","-350","-0.72","10955","4.38","12162","3.94","124124","0.39","2950","6.15"
"2023/05/25","48300","-1000","-2.03","10955","4.41","12162","3.97","124124","0.39","2950","6.11"
"2023/05/24","49300","-100","-0.20","10955","4.50","12162","4.05","124124","0.40","2950","5.98"
"2023/05/23","49400","50","0.10","10955","4.51","12150","4.07","124124","0.40","2950","5.97"
"2023/05/22","49350","-150","-0.30","10955","4.50","12150","4.06","124124","0.40","2950","5.98"
"2023/05/19","49500","0","0.00","10955","4.52","12150","4.07","124124","0.40","2950","5.96"
"2023/05/18","49500","650","1.33","10955","4.52","12150","4.07","124124","0.40","2950","5.96"
"2023/05/17","48850","-450","-0.91","10955","4.46","12150","4.02","124124","0.39","2950","6.04"
"2023/05/16","49300","500","1.02","10955","4.50","12150","4.06","124124","0.40","2950","5.98"
"2023/05/15","48800","200","0.41","10955","4.45","12150","4.02","124124","0.39","2950","6.05"
"2023/05/12","48600","-600","-1.22","10955","4.44","12150","4.00","124124","0.39","2950","6.07"
"2023/05/11","49200","600","1.23","10955","4.49","12150","4.05","124124","0.40","2950","6.00"
"2023/05/10","48600","-550","-1.12","10955","4.44","12150","4.00","124124","0.39","2950","6.07"
"2023/05/09","49150","-100","-0.20","10955","4.49","12150","4.05","124124","0.40","2950","6.00"
"2023/05/08","49250","550","1.13","10955","4.50","12148","4.05","124124","0.40","2950","5.99"
"2023/05/04","48700","400","0.83","10955","4.45","12167","4.00","124124","0.39","2950","6.06"
"2023/05/03","48300","-1200","-2.42","10955","4.41","12167","3.97","124124","0.39","2950","6.11"
"2023/05/02","49500","0","0.00","10955","4.52","12140","4.08","124124","0.40","2950","5.96"
"2023/04/28","49500","1250","2.59","11134","4.45","11991","4.13","121808","0.41","2940","5.94"
"2023/04/27","48250","-700","-1.43","11134","4.33","11991","4.02","121808","0.40","2940","6.09"
"2023/04/26","48950","-800","-1.61","11134","4.40","11991","4.08","121808","0.40","2940","6.01"
"2023/04/25","49750","550","1.12","11134","4.47","11991","4.15","121808","0.41","2940","5.91"
"2023/04/24","49200","-900","-1.80","11134","4.42","11991","4.10","121808","0.40","2940","5.98"
"2023/04/21","50100","-300","-0.60","11134","4.50","11969","4.19","121808","0.41","2940","5.87"
"2023/04/20","50400","950","1.92","11134","4.53","11969","4.21","121808","0.41","2940","5.83"
"2023/04/19","49450","1050","2.17","11134","4.44","11969","4.13","121808","0.41","2940","5.95"
"2023/04/18","48400","0","0.00","11134","4.35","11973","4.04","121808","0.40","2940","6.07"
"2023/04/17","48400","-250","-0.51","11134","4.35","11993","4.04","121808","0.40","2940","6.07"
"2023/04/14","48650","1450","3.07","11134","4.37","11993","4.06","121808","0.40","2940","6.04"
"2023/04/13","47200","300","0.64","11134","4.24","12003","3.93","121808","0.39","2940","6.23"
"2023/04/12","46900","-50","-0.11","11134","4.21","12008","3.91","121808","0.39","2940","6.27"
"2023/04/11","46950","400","0.86","11134","4.22","11988","3.92","121808","0.39","2940","6.26"
"2023/04/10","46550","-450","-0.96","11134","4.18","12002","3.88","121808","0.38","2940","6.32"
"2023/04/07","47000","350","0.75","11134","4.22","12002","3.92","121808","0.39","2940","6.26"
"2023/04/06","46650","-1200","-2.51","11134","4.19","12027","3.88","121808","0.38","2940","6.30"
"2023/04/05","47850","100","0.21","11134","4.30","12098","3.96","121808","0.39","2940","6.14"
"2023/04/04","47750","450","0.95","11134","4.29","12098","3.95","121808","0.39","2940","6.16"
"2023/04/03","47300","-350","-0.73","11134","4.25","12069","3.92","121808","0.39","2940","6.22"
"2023/03/31","47650","450","0.95","11134","4.28","12125","3.93","121808","0.39","2940","6.17"
"2023/03/30","47200","-850","-1.77","11134","4.24","12023","3.93","121808","0.39","2940","6.23"
"2023/03/29","48050","150","0.31","11134","4.32","12021","4.00","121808","0.39","2940","6.12"
"2023/03/28","47900","1200","2.57","11134","4.30","12021","3.98","121808","0.39","2940","6.14"
"2023/03/27","46700","-350","-0.74","11134","4.19","12021","3.89","121808","0.38","2940","6.30"
"2023/03/24","47050","-1900","-3.88","11134","4.23","12021","3.91","121808","0.39","2940","6.25"
"2023/03/23","48950","-200","-0.41","11134","4.40","12021","4.07","121808","0.40","2940","6.01"
"2023/03/22","49150","700","1.44","11134","4.41","12021","4.09","121808","0.40","2940","5.98"
